round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
12,0.5000963973111576,0.48069246669429655,0.5018308080808082,0.00941160066926938,135.0,14344.0,1572.0,0.0,0.006361323155216285,0.12679446402475716,1475.0,,,,0.0,0.2,0.2,0.4,0.6,0.44000000000000006,0.8,0.45999999999999996,1.0
13,0.5001055780074584,0.4959193058591262,0.5084854497354498,0.011013368428343839,159.0,14437.0,1572.0,0.0,0.015267175572519083,0.12489292444749014,1458.0,,,,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222223,0.8333333333333334,0.7222222222222223,0.8333333333333334,0.746031746031746,1.0
14,0.500112922564499,0.5101295731707317,0.49009381898454746,0.011026878015161957,160.0,14510.0,1572.0,0.0,0.013994910941475827,0.1256904903543809,1479.0,,,,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.78125,1.0
15,0.5001184309822794,0.5022717850026608,0.4899891774891774,0.009447724904480722,136.0,14395.0,1572.0,0.0,0.007633587786259542,0.12608399931984357,1483.0,,,,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,0.14761904761904762,1.0
16,0.50012577553932,0.4915841097889538,0.49598607961703206,0.009176882661996497,131.0,14275.0,1572.0,0.0,0.012086513994910942,0.1275874065054792,1467.0,,,,0.0,0.2,0.2,0.26666666666666666,0.4,0.35666666666666663,0.8,0.3852380952380952,1.0
17,0.50012577553932,0.4908485422211839,0.49073021885521884,0.009661159339120694,138.0,14284.0,1572.0,0.0,0.014631043256997456,0.12818292049194527,1480.0,,,,0.0,,,,,,,,
18,0.5001349562356208,0.536935078001738,0.5045082885304659,0.009379812403751926,134.0,14286.0,1572.0,0.0,0.015903307888040712,0.12878524190741386,1480.0,,,,0.0,0.2,0.2,0.36666666666666664,0.6,0.36666666666666664,0.6,0.42857142857142855,1.0
19,0.5001423007926613,0.4735755875008751,0.4947042366107114,0.010257130813545033,146.0,14234.0,1572.0,0.0,0.012086513994910942,0.12777826200644993,1466.0,,,,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5527777777777778,1.0
20,0.500151481488962,0.506420694863046,0.48838894110275693,0.011060100166944907,159.0,14376.0,1572.0,0.0,0.010178117048346057,0.12752721617418353,1476.0,2.0065789473684212,0.052493899263428706,0.000955735766116148,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.31547619047619047,1.0
21,0.5001551537674823,0.5131942734684583,0.49870144534778676,0.0089633129516398,129.0,14392.0,1572.0,0.0,0.01653944020356234,0.12728369527749053,1477.0,,,,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,1.0
22,0.5001569899067425,0.5056760434136001,0.5002104377104377,0.011906439340566436,169.0,14194.0,1572.0,0.0,0.015267175572519083,0.1295535948283393,1483.0,,,,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0
23,0.500162498324523,0.47671589929339275,0.4996521335807049,0.01138586197261805,163.0,14316.0,1572.0,0.0,0.011450381679389313,0.1267801319902744,1460.0,,,,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.24166666666666667,1.0
24,0.5001680067423033,0.5266354177263397,0.5206106870229008,0.009418166596902469,135.0,14334.0,1572.0,0.0,0.014631043256997456,0.12698956015745336,1484.0,,,,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5370370370370371,1.0
25,0.5001826958563845,0.5081466944075343,0.5066311612364245,0.00997022779200997,144.0,14443.0,1572.0,0.0,0.006997455470737914,0.12482734806629835,1446.0,,,,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.5892857142857143,1.0
26,0.500201057248986,0.5211213616534364,0.5198694134864347,0.010613457864572278,150.0,14133.0,1572.0,0.0,0.012086513994910942,0.12879665093079185,1446.0,,,,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.4666666666666667,0.6666666666666666,0.510758377425044,1.0
27,0.5002047295275063,0.5383895135619273,0.498987123987124,0.010076441973592773,145.0,14390.0,1572.0,0.0,0.008905852417302799,0.1268858463416761,1455.0,,,,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3333333333333333,1.0
28,0.5002157463630672,0.49661235305983975,0.5168885030864198,0.01089477753567161,155.0,14227.0,1572.0,0.0,0.014631043256997456,0.12962145945468984,1469.0,,,,0.0,0.2857142857142857,0.2857142857142857,0.4523809523809524,0.7142857142857143,0.48095238095238096,0.8571428571428571,0.4988095238095238,1.0
29,0.5002230909201077,0.4597067448419719,0.5001407657657658,0.011109558412520962,159.0,14312.0,1572.0,0.0,0.013994910941475827,0.12780776597597074,1468.0,,,,0.0,0.75,0.75,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0
