round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size
13,0.09469846275128103,0.010925819436457734,19.0,1739.0,189.0,0.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.3280674038967878,,,,14.0
14,0.09588096176586519,0.013445378151260505,24.0,1785.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07936507936507936,0.3359662980516061,,,,15.0
15,0.09671856523452897,0.009577464788732394,17.0,1775.0,189.0,0.0,1.0,1.0,1.0,1.0,0.05291005291005291,0.35176408636124273,,,,16.0
16,0.0982459597950335,0.017464788732394366,31.0,1775.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.3570300157977883,,,,17.0
17,0.09967481277098936,0.016057585825027684,29.0,1806.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.344391785150079,,,,18.0
18,0.10046314544737879,0.009232544720138488,16.0,1733.0,189.0,0.0,1.0,1.0,1.0,1.0,0.042328042328042326,0.330173775671406,,,,19.0
19,0.10139929050059125,0.01037117903930131,19.0,1832.0,189.0,0.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.3338599262769879,,,,20.0
20,0.10213835238470635,0.008581235697940504,15.0,1748.0,189.0,0.0,1.0,1.0,1.0,1.0,0.05291005291005291,0.3285939968404423,3.5575757575757576,0.048687278339500525,1.1303389883113073,21.0
21,0.1030744974379188,0.010888252148997135,19.0,1745.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06349206349206349,0.33175355450236965,,,,22.0
22,0.1035672053606622,0.005627462014631401,10.0,1777.0,189.0,0.0,1.0,1.0,1.0,1.0,0.026455026455026454,0.32596103212216954,,,,23.0
23,0.10401064249113126,0.005079006772009029,9.0,1772.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.33175355450236965,,,,24.0
24,0.10450335041387465,0.005770340450086555,10.0,1733.0,189.0,0.0,1.0,1.0,1.0,1.0,0.021164021164021163,0.3312269615587151,,,,25.0
25,0.10489751675206938,0.004595060310166571,8.0,1741.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.31700895208004215,,,,26.0
26,0.10529168309026408,0.004584527220630372,8.0,1745.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.3333333333333333,,,,27.0
27,0.10539022467481277,0.001152073732718894,2.0,1736.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.32754081095313325,,,,28.0
28,0.10573512022073316,0.003952569169960474,7.0,1771.0,189.0,0.0,1.0,1.0,1.0,1.0,0.021164021164021163,0.3180621379673512,,,,29.0
29,0.1059322033898305,0.002258610954263128,4.0,1771.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3291205897840969,,,,30.0
30,0.10622782814347655,0.0033764772087788407,6.0,1777.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3222748815165877,3.80625,0.04766402358518099,1.0851124008659292,31.0
31,0.10652345289712259,0.0034285714285714284,6.0,1750.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.32754081095313325,,,,32.0
32,0.10686834844304297,0.004076878276062901,7.0,1717.0,189.0,0.0,1.0,1.0,1.0,1.0,0.021164021164021163,0.3175355450236967,,,,33.0
33,0.10706543161214033,0.0023161551823972205,4.0,1727.0,189.0,0.0,1.0,1.0,1.0,1.0,0.021164021164021163,0.315955766192733,,,,34.0
34,0.10716397319668901,0.0011273957158962795,2.0,1774.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3149025803054239,,,,35.0
35,0.10726251478123769,0.0011507479861910242,2.0,1738.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.32122169562927855,,,,36.0
36,0.10745959795033504,0.002284408909194746,4.0,1751.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.32490784623486046,,,,37.0
37,0.10760741032715807,0.0016853932584269663,3.0,1780.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.32174828857293314,,,,38.0
38,0.10770595191170675,0.001148105625717566,2.0,1742.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3222748815165877,,,,39.0
39,0.10810011824990146,0.004563605248146035,8.0,1753.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.325434439178515,,,,40.0
40,0.10844501379582183,0.004069767441860465,7.0,1720.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.3138493944181148,3.6285714285714286,0.04773166609171318,1.107837705461814,41.0
41,0.1086420969649192,0.002207505518763797,4.0,1812.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.31437598736176936,,,,42.0
42,0.10893772171856524,0.003424657534246575,6.0,1752.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.33912585571353343,,,,43.0
43,0.10918407567993693,0.002788622420524261,5.0,1793.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.3180621379673512,,,,44.0
44,0.10957824201813166,0.004496908375491849,8.0,1779.0,189.0,0.0,1.0,1.0,1.0,1.0,0.026455026455026454,0.3175355450236967,,,,45.0
45,0.10977532518722902,0.0022284122562674096,4.0,1795.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.3154291732490785,,,,46.0
46,0.11002167914860071,0.0028376844494892167,5.0,1762.0,189.0,0.0,1.0,1.0,1.0,1.0,0.021164021164021163,0.3101632438125329,,,,47.0
47,0.11016949152542373,0.0016958733747880158,3.0,1769.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3185887309110058,,,,48.0
48,0.11061292865589278,0.005110732538330494,9.0,1761.0,189.0,0.0,1.0,1.0,1.0,1.0,0.021164021164021163,0.31648235913638756,,,,49.0
49,0.11071147024044146,0.0011086474501108647,2.0,1804.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3280674038967878,,,,50.0
50,0.11105636578636184,0.003961516694963215,7.0,1767.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.31068983675618744,3.6303030303030304,0.04806982225890201,1.0685894104522962,51.0
51,0.11130271974773355,0.0028669724770642203,5.0,1744.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.3070036861506056,,,,52.0
52,0.11140126133228222,0.0011376564277588168,2.0,1758.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.3285939968404423,,,,53.0
53,0.1114998029168309,0.0011248593925759281,2.0,1778.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3201685097419695,,,,54.0
54,0.11154907370910525,0.0005589714924538849,1.0,1789.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3149025803054239,,,,55.0
55,0.11169688608592826,0.0017113519680547634,3.0,1753.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3280674038967878,,,,56.0
56,0.11184469846275127,0.0016825574873808188,3.0,1783.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3338599262769879,,,,57.0
57,0.11204178163184864,0.0022740193291642978,4.0,1759.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3149025803054239,,,,58.0
58,0.11204178163184864,0.0,0.0,1806.0,189.0,0.0,,,,,0.0,0.34017904160084256,,,,59.0
59,0.11228813559322035,0.002860411899313501,5.0,1748.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.32490784623486046,,,,60.0
60,0.11243594797004336,0.001692047377326565,3.0,1773.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.3233280674038968,3.8216216216216217,0.04745356279494115,1.0852242728199066,61.0
61,0.11268230193141505,0.0028473804100227792,5.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.32754081095313325,,,,62.0
62,0.11292865589278675,0.002824858757062147,5.0,1770.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.3264876250658241,,,,63.0
63,0.11302719747733543,0.001128668171557562,2.0,1772.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3127962085308057,,,,64.0
64,0.11312573906188411,0.0011389521640091116,2.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3180621379673512,,,,65.0
65,0.11317500985415846,0.0005636978579481398,1.0,1774.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3328067403896788,,,,66.0
66,0.11322428064643279,0.000578368999421631,1.0,1729.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.33228014744602424,,,,67.0
67,0.11351990540007884,0.003355704697986577,6.0,1788.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.3185887309110058,,,,68.0
68,0.11361844698462752,0.0011876484560570072,2.0,1684.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.32596103212216954,,,,69.0
69,0.11376625936145053,0.001671309192200557,3.0,1795.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.31700895208004215,,,,70.0
70,0.11381553015372488,0.0005730659025787965,1.0,1745.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.31911532385466035,3.6594594594594594,0.04735316029092713,1.1158580738004982,71.0
71,0.11396334253054789,0.0017103762827822121,3.0,1754.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.32174828857293314,,,,72.0
72,0.11396334253054789,0.0,0.0,1756.0,189.0,0.0,,,,,0.0,0.3180621379673512,,,,73.0
73,0.11406188411509657,0.0011267605633802818,2.0,1775.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.31700895208004215,,,,74.0
74,0.11411115490737091,0.0005675368898978433,1.0,1762.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3243812532912059,,,,75.0
75,0.11411115490737091,0.0,0.0,1753.0,189.0,0.0,,,,,0.0,0.31700895208004215,,,,76.0
76,0.11411115490737091,0.0,0.0,1760.0,189.0,0.0,,,,,0.0,0.3122696155871511,,,,77.0
77,0.11420969649191959,0.0011185682326621924,2.0,1788.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3233280674038968,,,,78.0
78,0.11420969649191959,0.0,0.0,1772.0,189.0,0.0,,,,,0.0,0.3264876250658241,,,,79.0
79,0.11430823807646827,0.0011560693641618498,2.0,1730.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.3312269615587151,,,,80.0
80,0.11440677966101695,0.001129305477131564,2.0,1771.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.32490784623486046,3.6,0.04735787306406618,0.9725565868182673,81.0
81,0.11445605045329128,0.000564334085778781,1.0,1772.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.32174828857293314,,,,82.0
82,0.11455459203783996,0.0011331444759206798,2.0,1765.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.32490784623486046,,,,83.0
83,0.11470240441466299,0.0017341040462427746,3.0,1730.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3154291732490785,,,,84.0
84,0.11480094599921167,0.001142204454597373,2.0,1751.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.31911532385466035,,,,85.0
85,0.11480094599921167,0.0,0.0,1696.0,189.0,0.0,,,,,0.0,0.31332280147446023,,,,86.0
86,0.11480094599921167,0.0,0.0,1736.0,189.0,0.0,,,,,0.0,0.3312269615587151,,,,87.0
87,0.11480094599921167,0.0,0.0,1723.0,189.0,0.0,,,,,0.0,0.31700895208004215,,,,88.0
88,0.11480094599921167,0.0,0.0,1737.0,189.0,0.0,,,,,0.0,0.3185887309110058,,,,89.0
89,0.11489948758376034,0.001142204454597373,2.0,1751.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3127962085308057,,,,90.0
90,0.11499802916830902,0.0011409013120365088,2.0,1753.0,189.0,0.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.3243812532912059,3.688888888888889,0.04730044216631676,0.9711455695464564,91.0
91,0.11499802916830902,0.0,0.0,1758.0,189.0,0.0,,,,,0.0,0.32174828857293314,,,,92.0
92,0.1150965707528577,0.0011383039271485487,2.0,1757.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3154291732490785,,,,93.0
93,0.11514584154513205,0.0005701254275940707,1.0,1754.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.30963665086887837,,,,94.0
94,0.11524438312968073,0.0011273957158962795,2.0,1774.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.31437598736176936,,,,95.0
95,0.11534292471422941,0.0011248593925759281,2.0,1778.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3101632438125329,,,,96.0
96,0.11544146629877808,0.0011534025374855825,2.0,1734.0,189.0,0.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.315955766192733,,,,97.0
97,0.11544146629877808,0.0,0.0,1774.0,189.0,0.0,,,,,0.0,0.3196419167983149,,,,98.0
98,0.11554000788332676,0.0011254924029262803,2.0,1777.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3280674038967878,,,,99.0
99,0.11554000788332676,0.0,0.0,1749.0,189.0,0.0,,,,,0.0,0.32490784623486046,,,,100.0
