round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,clustering_diff,degree_kl
48,0.07106868204720233,0.004985044865403789,5.0,1003.0,115.0,0.0,1.0,1.0,1.0,1.0,,
49,0.07138690002651817,0.0064516129032258064,6.0,930.0,115.0,0.0,1.0,1.0,1.0,1.0,,
50,0.07154600901617608,0.003076923076923077,3.0,975.0,115.0,0.0,1.0,1.0,1.0,1.0,0.06911537682660773,1.0563944321916716
51,0.07165208167594803,0.002072538860103627,2.0,965.0,115.0,0.0,1.0,1.0,1.0,1.0,,
52,0.07197029965526386,0.006054490413723511,6.0,991.0,115.0,0.0,1.0,1.0,1.0,1.0,,
53,0.07234155396446566,0.007383966244725738,7.0,948.0,115.0,0.0,1.0,1.0,1.0,1.0,,
54,0.07234155396446566,0.0,0.0,946.0,115.0,0.0,,,,,,
55,0.07260673561389552,0.005213764337851929,5.0,959.0,115.0,0.0,1.0,1.0,1.0,1.0,,
56,0.07276584460355344,0.0029791459781529296,3.0,1007.0,115.0,0.0,1.0,1.0,1.0,1.0,,
57,0.07308406258286927,0.006910167818361303,7.0,1013.0,115.0,0.0,1.0,1.0,1.0,1.0,,
58,0.07324317157252717,0.003134796238244514,3.0,957.0,115.0,0.0,1.0,1.0,1.0,1.0,,
59,0.07340228056218509,0.0029702970297029703,3.0,1010.0,115.0,0.0,1.0,1.0,1.0,1.0,,
60,0.07350835322195703,0.0020181634712411706,2.0,991.0,115.0,0.0,1.0,1.0,1.0,1.0,0.06838577746790606,1.030067690111639
61,0.07366746221161495,0.003083247687564234,3.0,973.0,115.0,0.0,1.0,1.0,1.0,1.0,,
62,0.07382657120127287,0.003076923076923077,3.0,975.0,115.0,0.0,1.0,1.0,1.0,1.0,,
63,0.07403871652081676,0.0040650406504065045,4.0,984.0,115.0,0.0,1.0,1.0,1.0,1.0,,
64,0.07419782551047467,0.003089598352214212,3.0,971.0,115.0,0.0,1.0,1.0,1.0,1.0,,
65,0.07440997083001856,0.004081632653061225,4.0,980.0,115.0,0.0,1.0,1.0,1.0,1.0,,
66,0.07462211614956245,0.004069175991861648,4.0,983.0,115.0,0.0,1.0,1.0,1.0,1.0,,
67,0.07488729779899231,0.004985044865403789,5.0,1003.0,115.0,0.0,1.0,1.0,1.0,1.0,,
68,0.0750994431185362,0.004028197381671702,4.0,993.0,115.0,0.0,1.0,1.0,1.0,1.0,,
69,0.07520551577830814,0.001899335232668566,2.0,1053.0,115.0,0.0,1.0,1.0,1.0,1.0,,
70,0.07541766109785203,0.004153686396677051,4.0,963.0,115.0,0.0,1.0,1.0,1.0,1.0,0.06716444733577412,1.10167478839334
71,0.075470697427738,0.0010152284263959391,1.0,985.0,115.0,0.0,1.0,1.0,1.0,1.0,,
72,0.0758419517369398,0.00720164609053498,7.0,972.0,115.0,0.0,1.0,1.0,1.0,1.0,,
73,0.0760540970564837,0.003980099502487562,4.0,1005.0,115.0,0.0,1.0,1.0,1.0,1.0,,
74,0.07616016971625564,0.0020942408376963353,2.0,955.0,115.0,0.0,1.0,1.0,1.0,1.0,,
75,0.07637231503579953,0.004158004158004158,4.0,962.0,115.0,0.0,1.0,1.0,1.0,1.0,,
76,0.07663749668522939,0.006376195536663124,6.0,941.0,115.0,0.0,1.0,1.0,1.0,1.0,,
77,0.07684964200477327,0.00392156862745098,4.0,1020.0,115.0,0.0,1.0,1.0,1.0,1.0,,
78,0.07716785998408911,0.006103763987792472,6.0,983.0,115.0,0.0,1.0,1.0,1.0,1.0,,
79,0.07732696897374702,0.0032085561497326204,3.0,935.0,115.0,0.0,1.0,1.0,1.0,1.0,,
80,0.07769822328294881,0.007113821138211382,7.0,984.0,115.0,0.0,1.0,1.0,1.0,1.0,0.06530048146370143,1.0872173605808348
81,0.07806947759215062,0.007462686567164179,7.0,938.0,115.0,0.0,1.0,1.0,1.0,1.0,,
82,0.0782816229116945,0.004036326942482341,4.0,991.0,115.0,0.0,1.0,1.0,1.0,1.0,,
83,0.07865287722089631,0.007322175732217573,7.0,956.0,115.0,0.0,1.0,1.0,1.0,1.0,,
84,0.0788650225404402,0.003972194637537239,4.0,1007.0,115.0,0.0,1.0,1.0,1.0,1.0,,
85,0.07891805887032617,0.0010395010395010396,1.0,962.0,115.0,0.0,1.0,1.0,1.0,1.0,,
86,0.079236276849642,0.006335797254487857,6.0,947.0,115.0,0.0,1.0,1.0,1.0,1.0,,
87,0.07950145849907186,0.005030181086519115,5.0,994.0,115.0,0.0,1.0,1.0,1.0,1.0,,
88,0.07976664014850172,0.005050505050505051,5.0,990.0,115.0,0.0,1.0,1.0,1.0,1.0,,
89,0.08008485812781756,0.005964214711729622,6.0,1006.0,115.0,0.0,1.0,1.0,1.0,1.0,,
90,0.08045611243701936,0.007376185458377239,7.0,949.0,115.0,0.0,1.0,1.0,1.0,1.0,0.06449359462729176,1.1271553531102283
91,0.0805621850967913,0.001962708537782139,2.0,1019.0,115.0,0.0,1.0,1.0,1.0,1.0,,
92,0.08072129408644922,0.003194888178913738,3.0,939.0,115.0,0.0,1.0,1.0,1.0,1.0,,
93,0.08093343940599311,0.004036326942482341,4.0,991.0,115.0,0.0,1.0,1.0,1.0,1.0,,
94,0.08098647573587908,0.0010309278350515464,1.0,970.0,115.0,0.0,1.0,1.0,1.0,1.0,,
95,0.08103951206576505,0.001017293997965412,1.0,983.0,115.0,0.0,1.0,1.0,1.0,1.0,,
96,0.08119862105542297,0.0029644268774703555,3.0,1012.0,115.0,0.0,1.0,1.0,1.0,1.0,,
97,0.08135773004508089,0.0029411764705882353,3.0,1020.0,115.0,0.0,1.0,1.0,1.0,1.0,,
98,0.08156987536462477,0.004004004004004004,4.0,999.0,115.0,0.0,1.0,1.0,1.0,1.0,,
99,0.0816759480243967,0.0020408163265306124,2.0,980.0,115.0,0.0,1.0,1.0,1.0,1.0,,
