round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size
42,0.09799960583366181,0.02345537757437071,41.0,1748.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10582010582010581,0.3291205897840969,3.0698924731182795,,,43.0
43,0.09829523058730784,0.02759381898454746,50.0,1812.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.31437598736176936,2.9746192893401013,,,44.0
44,0.0984923137564052,0.021456804065499716,38.0,1771.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.31437598736176936,3.08,,,45.0
45,0.0987386677177769,0.019818799546998868,35.0,1766.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.3149025803054239,2.855,,,46.0
46,0.09893575088687426,0.022752497225305215,41.0,1802.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.3138493944181148,2.925,,,47.0
47,0.09918210484824597,0.026583710407239818,47.0,1768.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.3154291732490785,2.95,,,48.0
48,0.099477729601892,0.02249718785151856,40.0,1778.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.3154291732490785,2.928205128205128,,,49.0
49,0.09962554197871502,0.024594745667970933,44.0,1789.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.3180621379673512,2.923076923076923,,,50.0
50,0.09987189594008672,0.024157303370786518,43.0,1780.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3233280674038968,2.825641025641026,0.023288233257893406,1.0745749077909772,51.0
51,0.10006897910918408,0.02236238532110092,39.0,1744.0,189.0,0.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.3222748815165877,2.87,,,52.0
52,0.10036460386283011,0.023321956769055744,41.0,1758.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.32122169562927855,2.843243243243243,,,53.0
53,0.10051241623965314,0.018130311614730877,32.0,1765.0,189.0,0.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.3122696155871511,2.835,,,54.0
54,0.10070949940875049,0.02735042735042735,48.0,1755.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.31700895208004215,2.73,,,55.0
55,0.10085731178557351,0.021826536473291212,38.0,1741.0,189.0,0.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.3127962085308057,2.725,,,56.0
56,0.10105439495467088,0.024459613196814563,43.0,1758.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08465608465608465,0.315955766192733,2.74,,,57.0
57,0.10139929050059125,0.024585477415666093,43.0,1749.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.3138493944181148,2.715,,,58.0
58,0.10154710287741427,0.022905027932960894,41.0,1790.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.30173775671406006,2.845,,,59.0
59,0.10179345683878596,0.022752497225305215,41.0,1802.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.32701421800947866,2.855,,,60.0
60,0.10189199842333464,0.015033407572383074,27.0,1796.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07936507936507936,0.31332280147446023,2.764102564102564,0.015422375842266883,0.9556094522725321,61.0
61,0.10199054000788332,0.01977401129943503,35.0,1770.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12698412698412698,0.320695102685624,2.825641025641026,,,62.0
