round,coverage,auc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,uauc_feedback
10,0.5000908888933773,0.37582723789620337,0.0002785709311233373,4.0,14359.0,1572.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.7916666666666667,1.0,0.0019083969465648854,0.12103929024081116,1528.0,2.0,0.05695518384930673,0.0006389294833327995,0.0,0.8148148148148149
11,0.5001019057289381,0.4335709507001638,0.00041508128675198894,6.0,14455.0,1572.0,0.0,0.25,0.25,0.375,0.5,0.375,0.5,0.4479166666666667,1.0,0.0006361323155216285,0.12013242944978716,1524.0,,,,0.0,0.4894179894179895
12,0.5001092502859786,0.3579700034879665,0.00027895948113536507,4.0,14339.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.001272264631043257,0.12157330154946365,1530.0,,,,0.0,0.9421296296296297
13,0.5001202671215396,0.43451083772700644,0.0004216147846251142,6.0,14231.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.46296296296296297,1.0,0.001272264631043257,0.12195902688860435,1524.0,,,,0.0,0.4666666666666667
14,0.50012577553932,0.3909183508113989,0.00020830440216636578,3.0,14402.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.611111111111111,1.0,0.611111111111111,1.0,0.611111111111111,1.0,0.0006361323155216285,0.11996206733048838,1518.0,,,,0.0,0.8148148148148149
15,0.5001312839571005,0.402962704775183,0.00020908837468636745,3.0,14348.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.15,1.0,0.0,0.12071024763118082,1516.0,,,,0.0,0.22222222222222224
16,0.5001331200963606,0.3455091493225311,6.983727913960472e-05,1.0,14319.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.12179232541511083,1533.0,,,,0.0,1.0
17,0.5001423007926613,0.4240103874227962,0.00035080333964779346,5.0,14253.0,1572.0,0.0,0.4,0.4,0.5,0.6,0.6,1.0,0.6,1.0,0.001272264631043257,0.12268222506393862,1535.0,,,,0.0,0.7678571428571429
18,0.5001496453497019,0.374905322591751,0.00027534934948716185,4.0,14527.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7037037037037037,1.0,0.001272264631043257,0.11919855991234249,1523.0,,,,0.0,0.6620370370370371
19,0.5001661706030432,0.4091485087312625,0.0006254777955382584,9.0,14389.0,1572.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.24444444444444446,0.4444444444444444,0.312962962962963,1.0,0.0006361323155216285,0.12027895314214072,1535.0,,,,0.0,0.3125
20,0.5001680067423033,0.6926803764377832,6.970584134950509e-05,1.0,14346.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.12088959491660048,1522.0,1.9929078014184398,0.056878346715529216,0.0006389294833327995,0.0,1.0
21,0.5001771874386041,0.4070414695240746,0.0003477777004938443,5.0,14377.0,1572.0,0.0,0.2,0.2,0.2,0.2,0.24,0.4,0.313015873015873,1.0,0.0006361323155216285,0.12260751181228477,1531.0,,,,0.0,0.24404761904761907
22,0.5001790235778643,0.3542234332425068,6.98616738857063e-05,1.0,14314.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.12202451561882167,1543.0,,,,0.0,1.0
23,0.5001863681349048,0.37195482703417554,0.0002783383202282374,4.0,14371.0,1572.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4861111111111111,1.0,0.0006361323155216285,0.12110149988096183,1526.0,,,,0.0,0.6944444444444444
24,0.5001863681349048,,0.0,0.0,14469.0,1572.0,0.0,,,,,,,,,0.0,0.12036013268046122,1524.0,,,,0.0,
25,0.5001900404134251,0.3537254357336296,0.00013885995973061168,2.0,14403.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.12084090729471271,1529.0,,,,0.0,0.6666666666666667
26,0.5002047295275063,0.4369664422543032,0.0005549389567147614,8.0,14416.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7000000000000001,0.8333333333333334,0.7185185185185187,1.0,0.002544529262086514,0.12032867188117248,1523.0,,,,0.0,0.7372685185185185
27,0.500213910223807,0.4577829196466134,0.00035045910142286394,5.0,14267.0,1572.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.5208333333333334,1.0,0.5208333333333334,1.0,0.0006361323155216285,0.12177707259024197,1535.0,,,,0.0,0.7106481481481483
28,0.5002249270593679,0.3389524800554978,0.00041605991262741833,6.0,14421.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4861111111111111,0.8333333333333334,0.513888888888889,1.0,0.001272264631043257,0.12067603854051492,1528.0,,,,0.0,0.3555555555555555
29,0.5002322716164085,0.39964691221268345,0.0002768549280177187,4.0,14448.0,1572.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.6607142857142857,1.0,0.001272264631043257,0.12058706862356208,1520.0,,,,0.0,0.8055555555555556
